region,comuna,hh_d_acc,hh_d_accesi,hh_d_act,hh_d_appart,hh_d_asis,hh_d_cot,hh_d_entorno,hh_d_esc,hh_d_estado,hh_d_habitab,hh_d_hacina,hh_d_jub,hh_d_mal,hh_d_medio,hh_d_prevs,hh_d_rez,hh_d_seg,hh_d_servbas,hh_d_tsocial,pobreza_multi_4d,pobreza_multi_5d
Region de Antofagasta,Antofagasta,0.07287822878228782,0.03539985326485693,0.13763480168159387,0.10753676470588236,0.046061049168342166,0.26001881467544685,0.08903983844317973,0.2330345710627401,0.14429407461594734,0.21581275340950976,0.09027266028002948,0.13032352403582526,0.07015282636715153,0.05781192828393707,0.05478948336091193,0.03789126853377265,0.12758179491866203,0.09851946627673186,0.13251690732955584,0.17010108864696735,0.1773592309201491
Region de Antofagasta,Calama,0.03260869565217391,0.044444444444444446,0.10295790671217292,0.05086705202312139,0.04550625711035267,0.1960210649502633,0.1094017094017094,0.2,0.08200455580865604,0.13906520484708598,0.061671469740634005,0.06825938566552901,0.05960648148148148,0.06776765375854214,0.05663615560640732,0.017908723281340265,0.07167235494880546,0.03128555176336746,0.133674630261661,0.10241356816699282,0.12789927104042412
Region de Antofagasta,Maria Elena,0,0.02564102564102564,0.14358974358974358,0.015384615384615385,0.05128205128205128,0.07216494845360824,0.07692307692307693,0.3769633507853403,0.08717948717948718,0.358974358974359,0.3076923076923077,0.09230769230769231,0.08421052631578947,0.05128205128205128,0.015384615384615385,0.020512820512820513,0.005128205128205128,0,0.035897435897435895,0.12972972972972974,0.12972972972972974
Region de Antofagasta,Mejillones,0.01775147928994083,0.01775147928994083,0.1834319526627219,0.01775147928994083,0.029585798816568046,0.23841059602649006,0.10650887573964497,0.3772455089820359,0.14792899408284024,0.2874251497005988,0.1437125748502994,0.16568047337278108,0.14193548387096774,0.09467455621301775,0.17575757575757575,0.05325443786982249,0.09467455621301775,0.03550295857988166,0.07100591715976332,0.21804511278195488,0.22556390977443608
Region de Antofagasta,San Pedro de Atacama,0.02577319587628866,0.010309278350515464,0.04639175257731959,0.041237113402061855,0.010309278350515464,0.21052631578947367,0.015625,0.2698412698412698,0.17098445595854922,0.17098445595854922,0.02577319587628866,0.06701030927835051,0.015463917525773196,0.005208333333333333,0.06701030927835051,0,0.02577319587628866,0.05670103092783505,0.0979381443298969,0.10326086956521739,0.1043956043956044
Region de Antofagasta,Sierra Gorda,0.011111111111111112,0,0.18888888888888888,0.05555555555555555,0,0.1111111111111111,0.022222222222222223,0.18888888888888888,0.07777777777777778,0.2111111111111111,0.13333333333333333,0.08888888888888889,0,0.022222222222222223,0.07777777777777778,0.05555555555555555,0.05555555555555555,0.011111111111111112,0.07777777777777778,0.06666666666666667,0.06666666666666667
Region de Antofagasta,Taltal,0.017937219730941704,0.026905829596412557,0.10762331838565023,0.05829596412556054,0.026905829596412557,0.4063926940639269,0.026905829596412557,0.5117370892018779,0.27802690582959644,0.40271493212669685,0.24434389140271492,0.22869955156950672,0.08636363636363636,0,0.21363636363636362,0.03587443946188341,0.03587443946188341,0.2556053811659193,0.004484304932735426,0.3399014778325123,0.3399014778325123
Region de Antofagasta,Tocopilla,0.007614213197969543,0.02736318407960199,0.15270935960591134,0.085,0.08620689655172414,0.49379652605459057,0.11691542288557213,0.29797979797979796,0.19801980198019803,0.2625,0.1417910447761194,0.15024630541871922,0.09725685785536159,0.08866995073891626,0,0.009852216748768473,0.019704433497536946,0.3497536945812808,0.12315270935960591,0.3296398891966759,0.33048433048433046
Region de Arica y Parinacota,Arica,0.03271150814503416,0.02826115399712155,0.14304376224689747,0.056245824983299934,0.03148269105160026,0.3877225617858092,0.05011121287452571,0.2512793596640861,0.18432397126061398,0.24550583912872326,0.10689428759028234,0.11691704768125408,0.06052596801903,0.022599608099281514,0.09128409846972721,0.02118754904525242,0.09288047028086219,0.07710402509147936,0.12070542129327237,0.20939280255662082,0.2113533408833522
Region de Arica y Parinacota,Camarones,0.019230769230769232,0.38461538461538464,0,0,0,0.5384615384615384,0.4230769230769231,0.5,0.3076923076923077,0.3076923076923077,0.058823529411764705,0.11538461538461539,0,0.038461538461538464,0.2692307692307692,0,0,0.5576923076923077,0.057692307692307696,0.49019607843137253,0.5769230769230769
Region de Arica y Parinacota,Putre,0,0.1329479768786127,0.017341040462427744,0.017341040462427744,0,0.4662576687116564,0.1329479768786127,0.5780346820809249,0.3988439306358382,0.48554913294797686,0.12716763005780346,0.17341040462427745,0.023668639053254437,0,0.18128654970760233,0.057803468208092484,0.023121387283236993,0.43352601156069365,0.15028901734104047,0.4394904458598726,0.4713375796178344
Region de Atacama,Alto del Carmen,0.056074766355140186,0.27102803738317754,0,0.06542056074766354,0,0.23711340206185566,0.32710280373831774,0.5420560747663551,0.04672897196261682,0.04854368932038835,0,0.14953271028037382,0.07476635514018691,0.06542056074766354,0.11214953271028037,0,0.018691588785046728,0.2616822429906542,0.14018691588785046,0.1958762886597938,0.29896907216494845
Region de Atacama,Caldera,0.02570694087403599,0.05974025974025974,0.04884318766066838,0.07969151670951156,0.028277634961439587,0.4497354497354497,0.12727272727272726,0.2597402597402597,0.2802056555269923,0.36503856041131105,0.10539845758354756,0.08226221079691516,0.09399477806788512,0.06683804627249357,0.1174934725848564,0.06940874035989718,0.06940874035989718,0.012853470437017995,0.056555269922879174,0.21311475409836064,0.20165745856353592
Region de Atacama,Chanaral,0.020512820512820513,0,0.11282051282051282,0.12886597938144329,0.020512820512820513,0.1891891891891892,0.8205128205128205,0.36923076923076925,0.2153846153846154,0.2923076923076923,0.07692307692307693,0.07179487179487179,0.08205128205128205,0.8205128205128205,0.12435233160621761,0.05128205128205128,0.11794871794871795,0,0.12307692307692308,0.16939890710382513,0.2857142857142857
Region de Atacama,Copiapo,0.053197205803331545,0.030091348737238045,0.12323662496672877,0.06928281461434371,0.04950758583976577,0.2667212667212667,0.22085231841329403,0.2992720409813966,0.2270183852917666,0.2849893162393162,0.09188034188034189,0.13894064413095555,0.062399139322216246,0.19856268299174873,0.08012994044396318,0.03931532495319604,0.18339100346020762,0.014380825565912117,0.10726643598615918,0.19896343219118917,0.24418946749043838
Region de Atacama,Diego de Almagro,0.006172839506172839,0.019067796610169493,0.13786008230452676,0.03925619834710744,0.04938271604938271,0.29012345679012347,0.5218295218295218,0.25925925925925924,0.2674897119341564,0.3278008298755187,0.12863070539419086,0.10905349794238683,0.05485232067510549,0.49896907216494846,0.06431535269709543,0.012345679012345678,0.17695473251028807,0.01440329218106996,0.14609053497942387,0.16738197424892703,0.25162689804772237
